"","x"
"1","groupI"
"2","groupI"
"3","groupI"
"4","groupI"
"5","groupI"
"6","groupI"
"7","groupI"
"8","groupI"
"9","groupI"
"10","groupI"
"11","groupI"
"12","groupI"
"13","groupI"
"14","groupI"
"15","groupI"
"16","groupI"
"17","groupI"
"18","groupI"
"19","groupI"
"20","groupI"
"21","groupI"
"22","groupI"
"23","groupI"
"24","groupI"
"25","groupI"
"26","groupI"
"27","groupI"
"28","groupI"
"29","groupI"
"30","groupI"
"31","groupI"
"32","groupI"
"33","groupI"
"34","groupI"
"35","groupI"
"36","groupI"
"37","groupI"
"38","groupI"
"39","groupI"
"40","groupI"
"41","groupI"
"42","groupI"
"43","groupI"
"44","groupI"
"45","groupI"
"46","groupI"
"47","groupI"
"48","groupI"
"49","groupI"
"50","groupI"
"51","groupI"
"52","groupI"
"53","groupI"
"54","groupI"
"55","groupI"
"56","groupI"
"57","groupI"
"58","groupI"
"59","groupI"
"60","groupI"
"61","groupI"
"62","groupI"
"63","groupI"
"64","groupI"
"65","groupI"
"66","groupI"
"67","groupI"
"68","groupI"
"69","groupI"
"70","groupI"
"71","groupI"
"72","groupI"
"73","groupI"
"74","groupI"
"75","groupI"
"76","groupI"
"77","groupI"
"78","groupI"
"79","groupI"
"80","groupI"
"81","groupI"
"82","groupI"
"83","groupI"
"84","groupI"
"85","groupI"
"86","groupI"
"87","groupI"
"88","groupI"
"89","groupI"
"90","groupI"
"91","groupI"
"92","groupI"
"93","groupI"
"94","groupI"
"95","groupI"
"96","groupI"
"97","groupI"
"98","groupI"
"99","groupI"
"100","groupI"
"101","groupI"
"102","groupI"
"103","groupI"
"104","groupI"
"105","groupI"
"106","groupI"
"107","groupI"
"108","groupI"
"109","groupI"
"110","groupI"
"111","groupI"
"112","groupI"
"113","groupI"
"114","groupI"
"115","groupI"
"116","groupI"
"117","groupI"
"118","groupI"
"119","groupI"
"120","groupI"
"121","groupI"
"122","groupI"
"123","groupI"
"124","groupI"
"125","groupI"
"126","groupI"
"127","groupI"
"128","groupI"
"129","groupI"
"130","groupI"
"131","groupI"
"132","groupI"
"133","groupI"
"134","groupI"
"135","groupI"
"136","groupI"
"137","groupI"
"138","groupI"
"139","groupI"
"140","groupI"
"141","groupI"
"142","groupI"
"143","groupI"
"144","groupI"
"145","groupI"
"146","groupI"
"147","groupI"
"148","groupI"
"149","groupI"
"150","groupI"
"151","groupI"
"152","groupI"
"153","groupI"
"154","groupI"
"155","groupI"
"156","groupI"
"157","groupI"
"158","groupI"
"159","groupI"
"160","groupI"
"161","groupI"
"162","groupI"
"163","groupI"
"164","groupI"
"165","groupI"
"166","groupI"
"167","groupI"
"168","groupI"
"169","groupI"
"170","groupI"
"171","groupI"
"172","groupI"
"173","groupI"
"174","groupI"
"175","groupI"
"176","groupI"
"177","groupI"
"178","groupI"
