File name,Tank,Fish ID,Date,Time,Observer,Recorder,Time Period,Bin,Activity,Exploration,Freeze,Unfreeze,Plant,Open,Freeze in Plant,Freeze in Open,Edge,Away From Edge,Looking,Reaction
04-078_E1_before,04-078,E1,04/04/18,1045,JCK,GZ,before,0,48,9,4844,295155,30311,269687,0,4844,0,299997,26127,jerky swim / freeze
04-078_E1_before,04-078,E1,04/04/18,1045,JCK,GZ,before,1,48,9,3208,296792,10030,289970,0,3208,33723,266277,9940,jerky swim / freeze
04-078_E3_before,04-078,E3,04/06/18,1019,AM,KJ,before,0,2,2,283746,16252,0,299999,0,283746,0,299997,0,none
04-078_E3_before,04-078,E3,04/06/18,1019,AM,KJ,before,1,18,9,134772,165228,88218,211782,26302,108470,14228,285772,33992,none
04-078_E4_before,04-078,E4,04/06/18,1048,AM,KJ,before,0,3,2,219615,80383,92904,207095,72145,147470,19202,280795,0,none
04-078_E4_before,04-078,E4,04/06/18,1048,AM,KJ,before,1,5,5,289431,10569,287543,12457,286945,2486,3934,296066,0,none
04-078_E5_before,04-078,E5,04/06/18,1143,KJ,AM,before,0,1,1,244196,55802,294927,5072,244196,0,0,299997,0,none
04-078_E5_before,04-078,E5,04/06/18,1143,KJ,AM,before,1,4,4,273635,26365,177493,122507,156544,117091,0,3e+05,0,none
04-078_E6_before,04-078,E6,04/06/18,1214,KJ,AM,before,0,11,7,202363,97634,204613,95386,183180,19183,1669,298329,5106,None
04-078_E6_before,04-078,E6,04/06/18,1214,KJ,AM,before,1,3,2,37985,262015,146117,153883,37985,0,0,3e+05,0,None
04-078_E7_before,04-078,E7,04/06/18,1529,SR,GZ,before,0,14,7,71775,228222,86025,213973,25519,46256,172490,127509,0,none
04-078_E7_before,04-078,E7,04/06/18,1529,SR,GZ,before,1,2,2,19018,280982,237046,62954,19018,0,20977,279023,0,none
04-078_E8_before,04-078,E8,04/06/18,1556,GZ,SR,before,0,9,7,172032,127965,271413,28585,172032,0,15354,284645,37591,none
04-078_E8_before,04-078,E8,04/06/18,1556,GZ,SR,before,1,1,1,293733,6267,3e+05,0,293733,0,0,3e+05,0,none
05-085_E1_before,05-085,E1,03/26/18,1637,AF , BF,before,0,1,1,299998,0,299999,0,299998,0,0,299997,0,none
05-085_E1_before,05-085,E1,03/26/18,1637,AF , BF,before,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,none
05-085_E2_before,05-085,E2,03/27/18,1717,AP,SR,before,0,5,5,275035,24961,252431,47567,243130,31905,37079,262920,0,Freeze
05-085_E2_before,05-085,E2,03/27/18,1717,AP,SR,before,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,Freeze
05-085_E3_before,05-085,E3,03/28/18,1020,GZ,JCK,before,0,2,2,265806,34192,291317,8682,265806,0,0,299997,0,none
05-085_E3_before,05-085,E3,03/28/18,1020,GZ,JCK,before,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,none
05-085_E4_before,05-085,E4,03/28/18,1055,JCK,GZ,before,0,15,7,133704,166294,114815,185182,47667,86037,64762,235237,3903,jerky swim / freeze
05-085_E4_before,05-085,E4,03/28/18,1055,JCK,GZ,before,1,6,4,246526,53474,3782,296218,0,246526,256017,43983,0,jerky swim / freeze
05-085_E5_before,05-085,E5,03/30/18,1644,SR,GZ,before,0,18,9,140172,159827,236648,63350,134070,6102,33574,266423,0,none
05-085_E5_before,05-085,E5,03/30/18,1644,SR,GZ,before,1,17,9,132253,167747,255152,44848,132253,0,26973,273027,0,none
05-085_E6_before,05-085,E6,03/30/18,1739,SR,GZ,before,0,9,6,184450,115549,286209,13789,184450,0,2873,297124,0,none
05-085_E6_before,05-085,E6,03/30/18,1739,SR,GZ,before,1,2,2,231838,68162,279967,20033,231838,0,0,3e+05,0,none
05-085_E7_before,05-085,E7,04/02/18,1640,BF,AF ,before,0,4,3,245780,54218,243297,56700,223404,22376,21479,278520,0,none
05-085_E7_before,05-085,E7,04/02/18,1640,BF,AF ,before,1,9,8,269784,30216,164589,135411,150149,119635,111586,188414,0,none
05-085_E8_before,05-085,E8,04/03/18,1435,BF , AF,before,0,11,5,178686,121312,168897,131100,164852,13833,18947,281052,0,none
05-085_E8_before,05-085,E8,04/03/18,1435,BF , AF,before,1,3,3,290729,9271,293290,6710,290275,454,3704,296296,0,none
07-081_E1_before,07-081,E1,04/02/18,1144,AF , BF,before,0,6,4,230596,69402,189615,110384,153537,77059,25296,274701,0,fast start / plant 
07-081_E1_before,07-081,E1,04/02/18,1144,AF , BF,before,1,3,3,265979,34021,0,3e+05,0,265979,0,3e+05,1807,fast start / plant 
07-081_E2_before,07-081,E2,04/02/18,1514,AF,BF ,before,0,1,1,255033,44965,0,299997,0,255033,0,299999,0,freeze
