JWatcher,Date,Tank,Fry Number,SexGonads,Sex1,Time In,Time Attack,Dissection START,Dissection END,SIDE RNA,SIDE ATAC,Pool,Length,Mass,Notes
Y,3/12/18,27-002,E9,F,F,11:37,11:47,12:51,12:55,R,L,1,38.9,0.39,
NA,3/12/18,27-002,C9,M,M,NA,NA,13:05,13:09,R,L,NA,28.46,0.4,
Y,3/12/18,27-002,E10,F,F,12:07,12:17,13:17,13:21,R,L,2,29.25,0.4,
NA,3/12/18,27-002,C10,M,M,NA,NA,13:45,13:49,R,L,NA,24.43,0.26,
Y,3/12/18,27-002,E11,M,M,15:33,15:43,16:45,16:50,L,R,1,27.67,0.34,
NA,3/12/18,27-002,C11,M,M,NA,NA,16:59,17:02,L,R,NA,28.83,0.41,
Y,3/12/18,27-002,E12,F,F,16:13,16:23,17:26,17:30,L,R,2,30.08,0.45,was previously marked YELLOW HEAD
NA,3/12/18,27-002,C12,M,M,NA,NA,17:12,17:17,L,R,NA,27.45,0.36,
Y,3/13/18,27-002,E13,F,F,13:28,13:38,14:48,14:52,R,L,1,29.4,0.39,
NA,3/13/18,27-002,C13,M,M,NA,NA,14:59,15:02,R,L,NA,30.01,0.45,
Y,3/13/18,27-002,E14,F,F,13:53,14:03,15:11,15:15,R,L,2,30.02,0.43,
NA,3/13/18,27-002,C14,F,F,NA,NA,15:26,15:31,R,L,NA,29.12,0.37,
Y,3/13/18,29-028,E6,,NA,16:04,16:14,NA,NA,NA,NA,2,29.62,0.34,still had sandboxes/pot in holding tank; marked GREEN DORSAL
Y,3/13/18,29-028,E7,,NA,16:36,16:46,NA,NA,NA,NA,1,31.16,0.42,still had sandboxes/pot in holding tank; previously marked BLUE HEAD
Y,3/13/18,29-028,E8,,NA,17:31,17:41,NA,NA,NA,NA,2,31.09,0.42,same fish as E7 (BLUE HEAD)
Y,3/15/18,30-002,E5,,M,15:32,15:42,16:45,16:49,R,L,1,27.07,0.32,
NA,3/15/18,30-002,C5,,F,NA,NA,17:00,17:04,R,L,NA,28.32,0.36,
Y,3/15/18,30-002,E6,,F,16:01,16:11,17:15,17:19,L,R,2,26.65,0.29,
NA,3/15/18,30-002,C6,,F,NA,NA,17:26,17:31,L,R,NA,27.78,0.33,
Y,3/15/18,29-028,E9,,NA,17:10,17:20,NA,NA,NA,NA,1,31.43,0.44,marked YELLOW HEAD
Y,3/16/18,30-002,E7,,M,10:41,10:51,11:58,12:02,R,L,1,29.42,0.39,
NA,3/16/18,30-002,C7,,M,NA,NA,11:45,11:50,R,L,NA,29.27,0.37,
Y,3/16/18,30-002,E8,,F,11:08,11:18,12:23,12:27,L,R,2,30.28,0.37,
NA,3/16/18,30-002,C8,,M,NA,NA,12:12,12:17,L,R,NA,29.7,0.44,
Y,3/16/18,30-002,E9,,M,12:11,12:22,13:27,13:30,R,L,1,28.45,0.32,
NA,3/16/18,30-002,C9,,M,NA,NA,13:13,13:18,R,L,NA,30.19,0.45,
Y,3/16/18,30-002,E10,,F,12:39,12:49,13:49,13:53,L,R,2,27.77,0.31,previously marked YELLOW DORSAL
NA,3/16/18,30-002,C10,,F,NA,NA,13:37,13:41,L,R,NA,27.53,0.33,
Y,3/16/18,30-002,E11,,M,15:20,15:30,16:32,16:36,R,L,1,30.13,0.43,
NA,3/16/18,30-002,C11,,M,NA,NA,16:16,16:20,R,L,NA,30.48,0.5,
Y,3/16/18,30-002,E12,,F,15:53,16:03,17:02,17:05,L,R,2,27.8,0.33,
NA,3/16/18,30-002,C12,,M,NA,NA,16:46,16:50,L,R,NA,32.18,0.46,
Y,3/16/18,29-028,E10,,NA,16:44,16:54,NA,NA,NA,NA,1,36.11,0.66,marked YELLLOW DORSAL
Y,3/16/18,29-028,E11,,NA,17:20,17:30,NA,NA,NA,NA,2,29.92,0.44,previously marked RED DORSAL
Y,3/19/18,35-078,E1,,F,10:55,11:05,12:17,12:20,R,L,1,30.66,0.35,
NA,3/19/18,35-078,C1,,M,NA,NA,12:36,12:40,R,L,NA,29.65,0.37,
Y,3/19/18,35-078,E2,,F,11:36,11:46,12:49,12:53,L,R,2,29.57,0.37,
NA,3/19/18,35-078,C2,,F,NA,NA,12:59,13:03,L,R,NA,28.51,0.33,
Y,3/20/18,35-078,E3,,F,9:52,10:02,11:10,11:13,R,L,1,28.24,0.33,
NA,3/20/18,35-078,C3,,M,NA,NA,11:20,11:23,R,L,NA,28.53,0.32,
Y,3/20/18,35-078,E4,,M,10:17,10:27,11:29,11:31,L,R,2,31.99,0.5,
NA,3/20/18,35-078,C4,,F,NA,NA,11:40,11:43,L,R,NA,28.8,0.37,
Y,3/21/18,35-078,E5,,F,10:17,10:27,11:36,11:39,R,L,1,31.11,0.44,
