Date,Tank,Fry Number,Observer,Treatment,Tank Density,Sex,Gonad Sex,Time In,Side White,Time to Enter White,Number Switches,Time in White,Weight,Length
10/26/18,30-002,1,Bethany,Day 0,20,F,F,10:53,R,1:03,16,11:01,0.71,39.61
10/26/18,30-002,2,Bethany,Day 0,20,F?,F,11:40,L,2:16,16,8:27,0.77,38.28
10/29/18,32-077,1,Ken,Day 0,18,F,F,10:47,R,6:35,3,2:25,1.32,48.13
10/29/18,32-077,2,Ken,Day 0,18,M,M,11:26,L,1:20,33,7:14,0.7,37.6
10/29/18,32-077,3,Ken,Day 0,18,M,M,12:02,L,3:23,25,4:19,1.25,42.82
10/29/18,32-077,4,Ken,Day 0,18,F,F,12:36,R,1:45,10,11:22,0.95,42.5
11/1/18,32-077,5,Ken,Day 0,18,F,?,11:41,R,3:31,18,8:02,0.95,40.16
11/1/18,32-077,6,Ken,Day 0,18,M,M,12:24,L,2:03,36,6:03,0.91,38.34
11/1/18,32-077,7,Ken,Day 0,18,M,M,1:00,R,0:01,27,9:24,0.91,40.16
11/1/18,32-077,8,Ken,Day 0,18,M,M,1:35,L,1:21,20,9:22,0.76,36.92
11/2/18,30-002,3,Bethany,Day 0,20,M,M,9:56,R,0:00,19,7:25,0.88,37.88
11/2/18,30-002,4,Bethany,Day 0,20,M,M,10:35,L,2:54,18,6:17,0.85,37.38
11/2/18,30-002,5,Bethany,Day 0,20,F,F,11:13,R,0:13,26,10:18,0.67,38.4
11/2/18,04-078,1,Bethany,Day 0,16,M,M,11:55,L,0:00,29,8:37,0.85,39.86
11/5/18,32-077,9,Ken,Day 0,18,M,M,10:19,R,0:46,45,7:31,0.73,38.27
11/5/18,32-077,10,Ken,Day 0,18,M,M,10:51,L,0:00,37,7:45,0.87,39.72
11/5/18,11-082,1,Ken,Day 0,13,F,F,11:46,L,0:04,7,13:53,1.21,45.34
11/5/18,11-082,2,Ken,Day 0,13,M?,M,12:24,R,1:51,37,8:43,0.87,40.12
11/7/18,11-082,3,Ken,Day 0,13,F,?,12:33,R,0:52,22,11:10,1.49,50.26
11/7/18,11-082,4,Ken,Day 0,13,M,M,1:15,L,1:31,23,7:28,0.98,42.19
11/7/18,11-082,5,Ken,Day 0,13,F,F,1:52,R,15:00,0,0:00,1.25,46.78
11/7/18,22-095,1,Ken,Day 0,12,F?,F,2:19,L,1:57,11,7:04,0.71,39.61
11/9/18,04-078,2,Bethany,Day 0,16,F,F,9:56,R,1:55,28,7:46,0.99,43.55
11/9/18,04-078,3,Bethany,Day 0,16,F,F,10:25,L,0:00,9,11:14,0.97,42.05
11/9/18,04-078,4,Bethany,Day 0,16,M,M,10:59,R,3:54,9,7:46,1.18,43.06
11/9/18,04-078,5,Bethany,Day 0,16,F,?,11:32,L,0:00,55,6:30,0.71,39.23
11/9/18,19-093,1,Bethany,Day 10,18,F,F,12:03,R,0:00,17,9:04,1.51,51.45
11/14/18,22-095,2,Ken,Day 0,12,M?,M,10:43,R,2:47,9,7:29,1,40.61
11/14/18,22-095,3,Ken,Day 0,12,F?,F,11:19,L,0:00,19,5:54,0.76,40.38
