Tank,Fry Number,File,Color,Color Number,Time Period,Photo,Mean Dist Shoal,Shoal Mean Sep,Shoal Centroid Size,Shoal Var Sep,Min Dist Fish,Dist Plant,Dist Edge,Dist Sculpin,Dist Moved
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042245,196.3259,128.0958,171.7382,3904.957,177.0975,30.55872,85.08103,NA,NA
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042246,80.58225,120.5857,162.3634,3640.408,50.96199,68.91902,52.27828,NA,76.91048
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042247,103.6589,141.9935,189.8652,4644.438,63.85837,37.74803,14.64027,NA,240.0075
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042248,180.4925,197.1225,268.1263,10884.67,32.57083,74.18844,31.2917,NA,128.3426
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042249,160.0308,156.6089,205.7417,4432.108,46.18855,75.07829,69.36281,NA,96.77513
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042250,84.28467,87.49487,111.7876,810.7495,38.55967,59.69212,61.42598,NA,29.25615
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042251,89.70376,88.24707,120.4118,2254.147,53.19162,55.89581,37.41993,NA,76.34575
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042252,92.04865,59.58975,82.14061,1136.538,54.0158,82.25327,47.01405,NA,177.6292
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042253,99.81271,78.73876,104.9156,1366.074,65.47894,77.01065,57.97202,NA,148.8081
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042254,153.5256,175.3546,227.3201,4440.469,63.21392,41.96455,77.58885,NA,40.19195
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042255,61.96796,69.87066,96.20302,1545.725,29.45334,133.6838,19.26849,NA,195.1603
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042256,131.4659,94.55579,137.4685,4389.122,87.16245,60.91838,34.1776,NA,263.1581
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042257,78.2381,128.3464,167.6421,2715.742,29.4599,86.72448,26.81381,NA,145.548
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042258,97.09906,89.29682,117.0753,1396.603,20.01853,54.872,93.0152,NA,98.25359
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042259,53.57025,36.90328,49.52941,328.3072,39.70839,103.2963,42.33823,NA,179.1759
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042260,108.3298,136.4506,179.2977,3375.622,21.03095,4.850729,45.31543,NA,161.631
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042261,111.3904,132.1858,166.9293,1324.616,57.4384,102.595,15.82583,NA,203.979
04-078,1,04-078-1 BF.TPS,teal,1,Before,G0042262,187.6298,131.8392,175.8347,3876.368,62.14702,109.4155,16.42969,NA,239.8754
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042263,85.48964,157.3001,248.7652,19815.33,6.394621,109.4748,19.69854,233.1134,NA
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042264,128.6047,159.4447,240.3017,15688.81,34.09764,105.3519,4.143861,180.667,73.44829
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042265,212.7609,107.9169,153.2899,4822.96,159.0771,100.8412,11.48231,112.3923,80.65765
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042266,245.2552,62.89665,85.2924,1072.648,228.7859,103.2396,20.29934,74.66554,44.26742
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042267,181.6587,103.9459,153.2011,5810.765,58.09091,98.32665,19.634,208.6572,159.1036
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042268,91.89133,72.42059,101.2972,1915.205,40.8706,83.89928,12.2995,233.201,91.66857
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042269,76.1567,61.87381,81.93776,776.994,35.63847,91.95799,5.663694,240.1572,18.56351
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042270,49.8738,80.09794,104.5544,1046.487,19.13646,80.85438,26.32516,225.025,19.12845
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042271,69.69035,77.6306,106.6272,1863.681,40.98274,13.75624,50.91362,162.4174,141.386
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042272,122.9875,208.3912,278.1058,9761.991,43.57586,39.28309,58.62328,118.8887,58.92491
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042273,111.3165,174.4161,244.1118,11167.3,23.57976,43.67124,21.06172,204.7398,112.5296
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042274,69.71992,121.3085,173.8868,6530.389,16.55825,89.56004,33.74711,221.3451,125.9116
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042275,81.37088,84.86421,116.0602,2133.662,35.92297,64.74693,31.58385,211.2594,56.12365
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042276,119.8984,95.93687,130.6991,2621.135,92.91809,43.98649,19.02114,193.4943,131.4109
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042277,99.16913,127.3513,175.1949,5092.589,45.4316,51.37242,40.90067,171.0478,41.4314
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042278,76.04083,55.98664,70.41517,205.2317,45.05701,67.24953,21.13682,190.6665,18.87316
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042279,96.72365,113.3072,163.0967,5874.227,32.0433,65.57626,12.96465,201.2119,14.94512
04-078,1,04-078-1 BF.TPS,teal,1,After,G0042280,104.1307,96.32265,128.8876,2155.948,47.46182,40.55838,39.67107,191.0169,97.99787
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022413,76.18609,78.96064,107.5425,1770.57,47.31055,63.96796,70.11714,NA,NA
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022414,73.14718,70.39847,91.05398,685.5291,32.05446,57.70393,69.82905,NA,8.172102
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022415,119.8526,113.9924,153.451,3244.642,53.21155,46.89165,82.18849,NA,16.72179
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022416,138.6052,157.2735,206.5842,4459.693,47.57397,52.45102,79.48943,NA,9.519158
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022417,114.7997,131.5202,169.0153,2095.866,70.92359,68.70668,70.25902,NA,11.5907
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022418,120.771,132.0284,177.2309,4210.849,61.98368,84.45435,64.15302,NA,25.98075
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022419,102.1683,72.31817,92.68988,597.2286,66.11942,89.93246,65.94025,NA,4.682148
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022420,103.7246,95.77668,127.705,2039.046,42.72277,91.14647,64.95234,NA,5.011379
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022421,93.12122,65.74041,86.04858,737.3237,58.26948,79.56516,67.48304,NA,6.030075
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022422,97.68428,93.69035,123.8264,1732.916,58.52052,91.01234,60.62222,NA,6.54774
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022423,117.1728,156.2509,199.4404,2523.974,53.22814,85.45151,65.14018,NA,6.504656
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022424,98.94565,109.7033,141.7057,1622.631,64.73335,83.10394,66.70986,NA,3.294866
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022425,92.2129,125.3367,159.2112,1427.419,58.49154,83.26303,63.38481,NA,5.016781
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022426,90.86007,142.9582,181.1255,1720.689,45.91255,76.66851,64.85057,NA,19.90556
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022427,113.4387,160.4017,204.1771,2476.2,50.27507,73.2987,61.10585,NA,7.172381
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022428,110.3189,145.4006,188.5449,3069.751,59.98586,74.78654,61.19853,NA,5.893136
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022429,105.468,108.6032,147.3877,3224.939,78.75691,76.2131,60.21225,NA,0.4934931
04-078,2,04-078-2 BF.TPS,yellow,3,Before,G0022430,104.2846,101.5663,134.7839,2154.518,67.64703,78.17633,64.35465,NA,10.40822
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022431,112.2085,103.846,139.106,2539.589,84.7701,79.47744,59.57583,93.66779,NA
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022432,114.0343,115.214,152.0402,2563.855,76.91188,83.02491,55.5439,110.4713,16.1741
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022433,109.4041,111.2509,148.7964,2860.183,77.8899,78.42517,55.0011,109.5606,3.6676
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022434,113.9095,117.5483,158.3977,3490.754,85.50388,76.23671,54.31346,118.4711,12.86434
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022435,123.6087,123.4235,167.8561,4260.507,98.79823,75.05982,55.71057,126.4745,9.652526
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022436,107.9181,123.6206,167.6009,4133.603,94.16165,36.96718,62.77687,155.6859,35.15827
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022437,126.6377,126.967,175.8848,5403.631,86.32122,47.76797,48.3443,162.5673,14.74638
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022438,122.8643,142.4663,189.2527,4297.306,69.09776,51.81345,49.16759,164.5399,3.221535
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022439,118.3974,128.9849,171.8088,3650.112,76.90056,57.90356,49.21824,159.1089,8.491018
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022440,111.8026,123.3029,163.5355,3150.772,87.29995,68.36691,60.64454,124.0202,34.44602
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022441,107.5783,121.5705,164.6486,3952.054,81.94384,54.54382,74.63646,118.1042,14.18462
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022442,99.07897,132.8498,178.1336,4206.377,85.07062,40.84439,74.88807,139.3782,23.66162
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022443,103.968,122.6364,165.5611,3880.757,68.90437,42.13538,45.02534,172.7247,36.9005
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022444,108.0377,129.7505,171.5325,3336.5,68.427,45.42914,45.71369,179.8517,7.909536
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022445,96.32457,122.5192,164.4529,3622.647,65.97928,42.69971,46.28799,173.6489,7.675591
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022446,103.3555,129.6619,170.9556,3206.001,61.47631,13.03565,49.74838,202.9464,68.0437
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022447,106.1501,124.147,163.3457,2850.485,42.2864,14.42058,40.1827,188.4495,22.6602
04-078,2,04-078-2 BF.TPS,yellow,3,After,G0022448,94.4029,120.0508,158.9918,2928.071,44.83267,18.85747,54.01547,192.9488,31.60422
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032472,111.9357,109.533,150.3843,3695.381,80.56169,9.675958,116.3974,NA,NA
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032473,117.2976,83.15218,110.2771,1431.685,92.96627,17.09094,102.9243,NA,14.19694
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032474,69.07881,101.9749,130.4302,1130.974,33.78708,60.83051,72.5299,NA,49.27354
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032475,67.19604,113.2997,149.2909,2426.039,22.195,35.73094,108.3694,NA,56.74671
04-078,3,04-078-3 DWL.TPS,green,4,Before,G0032476,111.9748,131.8843,177.2174,4252.637,58.80866,24.15494,107.1536,NA,45.51641
