Date,Tank,Fry Number,Sex,Time In,Color,Shoal,Length,Mass,Density,Shoal Use,Notes
05/02/18,27-002,1,M,10:00,yellow,10-081,32.96,0.65,9,1,
05/02/18,30-002,1,M,10:20,yellow,10-081,31.58,0.48,23,2,"mistrial, tank was half in shadow until attack"
05/06/18,27-002,2,F,14:07,green,34-047 #1,29.96,0.45,9,1,
05/14/18,27-002,3,F,16:15,purple,34-047 #2,28.94,0.35,9,1,
05/14/18,30-002,2,M,16:44,purple,34-047 #2,27.87,0.37,23,2,
05/15/18,30-002,3,M,13:41,light blue,34-047 #3,33.86,0.63,23,1,
05/15/18,27-002,4,M,14:12,light blue,34-047 #3,31.60,0.55,9,2,
05/15/18,30-002,4,F,15:09,green,All GP - Cl15,31.78,0.52,23,1,gravid
05/15/18,04-078,1,M,15:58,teal,All GP - Cl14,35.58,0.70,21,1,
05/15/18,35-078,1,F,16:23,teal,All GP - Cl14,32.48,0.56,14,2,camera died on last minute
05/16/18,35-078,2,F,9:41,yellow,All GP - Cl30,32.78,0.53,14,1,
05/16/18,04-078,2,M,10:12,yellow,All GP - Cl30,31.43,0.48,21,2,
05/16/18,04-078,3,F,11:04,green,All GP - Cl13 #1,34.62,0.63,21,1,
05/16/18,35-078,3,F,11:37,green,All GP - Cl13 #1,33.87,0.66,14,2,looked gravid but had no eggs and was slightly reddish/brown -- Colby had just fed; attack time may be later because timer was started later
05/16/18,35-078,4,F,12:26,purple,All GP - Cl13 #2,33.95,0.62,14,1,
05/16/18,04-078,4,M,13:03,purple,All GP - Cl13 #2,31.61,0.50,21,2,
05/16/18,25-081,1,F,15:09,light blue,10-081,31.43,0.52,23,1,purple dorsal mark; fish is relatively the same size as smaller fish in shoal 
05/16/18,07-081,1,M,15:38,light blue,10-081,36.06,0.91,17,2,fish is huge but not in relation to larger fish in the shoal
05/16/18,07-081,2,F,16:11,teal,34-047 #1.2,32.85,0.54,17,1,
