File name,Tank,Fish ID,Date,Time,Observer,Recorder,Time Period,Bin,Activity,Exploration,Freeze,Unfreeze,Plant,Open,Freeze in Plant,Freeze in Open,Edge,Away From Edge,Looking,Reaction
04-078_E1_after,04-078,E1,04/04/18,1045,JCK,GZ,after,0,15,9,87897,212100,4436,295560,0,87896,109145,190853,8718,jerky swim / freeze
04-078_E1_after,04-078,E1,04/04/18,1045,JCK,GZ,after,1,32,9,99577,199467,11667,287377,0,99577,140961,158083,4344,jerky swim / freeze
04-078_E3_after,04-078,E3,04/06/18,1019,AM,KJ,after,0,5,4,211819,83246,244860,51451,211819,0,15019,109563,4960,none
04-078_E3_after,04-078,E3,04/06/18,1019,AM,KJ,after,1,9,4,149257,150743,221212,78788,149257,0,857,299143,8144,none
04-078_E4_after,04-078,E4,04/06/18,1048,AM,KJ,after,0,1,1,297060,0,297061,0,297060,0,0,0,0,none
04-078_E4_after,04-078,E4,04/06/18,1048,AM,KJ,after,1,1,1,296486,0,296486,0,296486,0,0,0,0,none
04-078_E5_after,04-078,E5,04/06/18,1143,KJ,AM,after,0,1,1,216994,83004,295942,4057,216994,0,0,299997,0,none
04-078_E5_after,04-078,E5,04/06/18,1143,KJ,AM,after,1,2,2,278896,13570,247594,44872,245181,33715,29272,263194,4172,none
04-078_E6_after,04-078,E6,04/06/18,1214,KJ,AM,after,0,1,1,295659,4337,296215,3782,295659,0,0,299999,0,None
04-078_E6_after,04-078,E6,04/06/18,1214,KJ,AM,after,1,2,2,261932,30470,146655,145747,145999,115933,0,292402,50753,None
04-078_E7_after,04-078,E7,04/06/18,1529,SR,GZ,after,0,1,1,175742,124254,299998,0,175742,0,0,299997,0,none
04-078_E7_after,04-078,E7,04/06/18,1529,SR,GZ,after,1,2,2,30433,269567,203233,96767,13672,16761,89258,210742,0,none
04-078_E8_after,04-078,E8,04/06/18,1556,GZ,SR,after,0,1,1,227287,72710,299998,0,227287,0,0,299996,0,none
04-078_E8_after,04-078,E8,04/06/18,1556,GZ,SR,after,1,1,1,234108,57672,291780,0,234108,0,0,291780,0,none
05-085_E1_after,05-085,E1,03/26/18,1637,AF , BF,after,0,1,1,299996,0,299998,0,299996,0,0,299997,0,none
05-085_E1_after,05-085,E1,03/26/18,1637,AF , BF,after,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,none
05-085_E2_after,05-085,E2,03/27/18,1717,AP,SR,after,0,1,1,1,0,2,0,1,0,0,4,0,Freeze
05-085_E2_after,05-085,E2,03/27/18,1717,AP,SR,after,1,,,,,,,,,,,,Freeze
05-085_E3_after,05-085,E3,03/28/18,1020,GZ,JCK,after,0,1,1,275714,24283,285687,14311,275714,0,2644,297352,0,none
05-085_E3_after,05-085,E3,03/28/18,1020,GZ,JCK,after,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,none
05-085_E4_after,05-085,E4,03/28/18,1055,JCK,GZ,after,0,1,1,296600,3396,299998,0,296600,0,0,299997,0,jerky swim / freeze
05-085_E4_after,05-085,E4,03/28/18,1055,JCK,GZ,after,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,jerky swim / freeze
05-085_E5_after,05-085,E5,03/30/18,1644,SR,GZ,after,0,1,1,271934,28064,299997,0,271933,0,0,299996,0,none
05-085_E5_after,05-085,E5,03/30/18,1644,SR,GZ,after,1,1,1,3e+05,0,3e+05,0,3e+05,0,0,3e+05,0,none
