Tank,Father,Trt,Egg Date,Egg Time,Clutch Size,Upgraded Skim,Week,Day Culled,Fry Count,Num Removed,Mean5 Weight,Mean5 Length,Fry 1 Weight,Fry 1 Length,Fry 2 Weight,Fry 2 Length,Fry 3 Weight,Fry 3 Length,Fry 4 Weight,Fry 4 Length,Fry 5 Weight,Fry 5 Length,Fry 6 Weight,Fry 6 Length,Fry 7 Weight,Fry 7 Length,Fry 8 Weight,Fry 8 Length,Fry 9 Weight,Fry 9 Length,Fry 10 Weight,Fry 10 Length,Mean Weight,Mean Length
18,30,Day 0,6/23/17,PM,0.35,8/15/17,12,9/18/17,55,5,0.1,18.174,0.1,18.02,0.11,19.37,0.07,16.5,0.13,19.32,0.09,17.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,18.17
18,30,Day 0,6/23/17,PM,0.35,8/15/17,14,9/30/18,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,30,Day 0,6/23/17,PM,0.35,8/15/17,16,10/19/17,50,5,0.132,19.728,0.18,22.31,0.17,21.44,0.11,19.22,0.12,18.79,0.08,16.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,19.73
15,28,Day 10,7/2/17,AM,NA,8/15/17,12,9/30/17,45,5,0.114,19.806,0.15,21.61,0.07,16.92,0.11,19.87,0.09,18.91,0.15,21.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,19.81
15,28,Day 10,7/2/17,AM,NA,8/15/17,14,10/12/17,40,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,28,Day 10,7/2/17,AM,NA,8/15/17,16,10/27/17,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,41,Day 0,7/4/17,AM,0.2,8/15/17,12,10/2/17,50,5,0.12,20.514,0.14,21.57,0.16,23.22,0.11,19.64,0.1,19.25,0.09,18.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,20.51
14,41,Day 0,7/4/17,AM,0.2,8/15/17,14,10/12/17,45,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,41,Day 0,7/4/17,AM,0.2,8/15/17,16,10/30/17,50,5,0.122,21.146,0.16,22.92,0.09,19.51,0.1,20.03,0.15,23.37,0.11,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12,21.15
16,42,Day 10,7/8/17,AM,0.23,8/19/17,12,10/2/17,50,5,0.1,18.236,0.08,17.12,0.16,20.77,0.09,17.83,0.09,17.78,0.08,17.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,18.24
16,42,Day 10,7/8/17,AM,0.23,8/19/17,14,10/14/17,50,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,42,Day 10,7/8/17,AM,0.23,8/19/17,16,11/3/17,45,5,0.146,20.718,0.13,20.7,0.15,20.75,0.21,22.91,0.12,19.42,0.12,19.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15,20.72
30,2,Day 0,7/31/17,PM,0.26,9/18/17,12,10/29/17,75,8,0.11,18.742,0.09,17.35,0.11,19.29,0.06,15.78,0.12,19.38,0.17,21.91,0.1,17.75,0.11,17.68,0.08,17.13,NA,NA,NA,NA,0.11,18.28
30,2,Day 0,7/31/17,PM,0.26,9/18/17,14,11/8/17,60,7,0.094,18.258,0.09,17.89,0.09,17.74,0.12,19.57,0.1,18.82,0.07,17.27,0.14,20.47,0.08,16.34,NA,NA,NA,NA,NA,NA,0.1,18.3
30,2,Day 0,7/31/17,PM,0.26,9/18/17,16,11/25/17,60,6,0.136,20.706,0.16,22.37,0.1,19.23,0.14,20.64,0.17,22.31,0.11,18.98,0.09,18.2,NA,NA,NA,NA,NA,NA,NA,NA,0.13,20.29
6,6,Day 10,8/2/17,PM,0.21,9/20/17,12,10/31/17,60,7,0.086,17.66,0.05,15.77,0.09,18.01,0.15,20.71,0.08,17.37,0.06,16.44,0.08,17.86,0.08,17.52,NA,NA,NA,NA,NA,NA,0.08,17.67
