Tank,Male Number,Trt,Pair Tank,Egg Date,Egg Time,Clutch Size,Fry Date,Fry Time,Remove Date
1,90,Day 0,37,10/19/17,AM,0.19,10/25/17,AM,10/19/17
3,85,Day 10,5,10/7/17,AM,0.23,10/12/17,PM,10/17/17
4,78,Day 0,35,8/23/17,PM,0.33,8/28/17,AM,8/23/17
5,85,Day 0,3,8/31/17,PM,0.32,9/6/17,AM,8/31/17
6,6,Day 10,NA,8/2/17,PM,0.21,8/8/17,AM,8/12/17
7,81,Day 10,25,8/31/17,PM,0.23,9/6/17,AM,9/10/17
8,94,Day 0,33,10/28/17,AM,0.24,11/2/17,PM,10/28/17
9,69,Day 10,NA,8/1/17,AM,0.24,8/6/17,PM,8/11/17
11,82,Day 0,31,8/22/17,AM,0.39,8/27/17,PM,8/22/17
12,92,Day 10,NA,9/29/17,AM,0.22,10/4/17,PM,10/9/17
13,83,Day 0,NA,8/18/17,AM,0.41,8/23/17,PM,8/18/17
14,41,Day 0,NA,7/4/17,AM,0.2,7/9/17,PM,7/4/17
15,28,Day 10,29,7/2/17,AM,NA,7/9/17,AM,7/12/17
16,42,Day 10,NA,7/8/17,AM,0.23,7/14/17,PM,7/18/17
17,95,Day 10,22,10/7/17,AM,0.29,10/13/17,AM,10/17/17
18,30,Day 0,NA,6/23/17,PM,0.35,6/28/17,PM,6/23/17
19,93,Day 10,39,10/8/17,AM,0.17,10/14/17,AM,10/18/17
20,91,Day 10,40,9/23/17,AM,0.29,9/28/17,PM,10/3/17
22,95,Day 0,17,9/29/17,PM,0.19,10/4/17,PM,9/29/17
23,74,Day 0,NA,8/10/17,PM,0.23,8/16/17,AM,8/10/17
24,79,Day 10,36,8/11/17,AM,0.3,8/16/17,PM,8/21/17
25,81,Day 0,7,9/25/17,AM,0.21,10/1/17,AM,9/25/17
26,77,Day 10,32,8/13/17,AM,0.31,8/19/17,AM,8/23/17
27,2,Day 10,30,7/16/17,PM,0.17,7/22/17,PM,7/26/17
29,28,Day 0,15,7/23/17,PM,0.16,7/28/17,PM,7/23/17
30,2,Day 0,27,7/31/17,PM,0.26,8/6/17,AM,7/31/17
31,82,Day 10,11,10/23/17,PM,0.38,10/29/17,AM,11/2/17
32,77,Day 0,26,8/8/17,AM,0.18,8/13/17,PM,8/8/17
33,94,Day 10,8,10/13/17,PM,0.24,10/19/17,AM,10/23/17
34,96,Day 0,NA,10/22/17,PM,0.18,10/27/17,PM,10/22/17
35,78,Day 10,4,8/6/17,AM,0.2,8/11/17,PM,8/16/17
36,79,Day 0,24,8/5/17,PM,0.3,8/11/17,AM,8/5/17
37,90,Day 10,1,9/17/17,PM,0.33,9/23/17,AM,9/27/17
38,47,Day 0,NA,7/9/17,AM,0.21,7/14/17,PM,7/9/17
39,93,Day 0,19,11/2/17,AM,0.2,11/7/17,PM,11/2/17
40,91,Day 0,20,9/16/17,AM,0.34,9/22/17,AM,9/16/17
