"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSGACG00000010476",-1.59175570928323,5.45247962600303,-20.8182335259203,1.517328862425e-55,1.26863866187354e-51,113.533851067835
"ENSGACG00000017076",-1.19622082597199,6.15893405429678,-20.5907766280959,8.19512981505741e-55,3.42597401918475e-51,113.055830700548
"ENSGACG00000016157",-1.23657279299658,7.06614010000229,-18.2319908050569,4.31518384819643e-47,1.20264173849235e-43,96.1901939776398
"ENSGACG00000013468",-1.15931867431742,4.66331249444483,-17.6974896511606,2.58092348485545e-45,5.39477531421911e-42,89.8906282153711
"ENSGACG00000012958",-0.845281449131372,6.73083397146188,-12.6587869167606,1.97184231329818e-28,3.29731471629722e-25,53.8751235836917
"ENSGACG00000017927",-1.02086409268529,4.73207788268509,-11.2396022705193,8.49285313809509e-24,1.18347908479355e-20,42.8653473749171
"ENSGACG00000019095",-0.633913246296572,4.673400209269,-10.7281301624822,3.64629890349572e-22,4.32957870567817e-19,39.2706208788344
"ENSGACG00000018465",-0.350551692916342,5.73458613157838,-10.7106330104036,4.14264198605733e-22,4.32957870567817e-19,39.503094936506
"ENSGACG00000001466",-1.14782675841914,5.17135677545792,-10.0566137724564,4.63378797268767e-20,4.30478902662684e-17,34.756737362909
"ENSGACG00000010820",-0.902685149613335,2.98690633544871,-9.7171945852912,5.12483265407471e-19,4.28487258207187e-16,30.6268075376569
"ENSGACG00000018713",-0.33743786616322,6.82800392633541,-8.94259866520569,1.08041657723399e-16,8.21214818386674e-14,27.2920873104044
"ENSGACG00000013618",-0.445929320905645,5.29033796169044,-8.81084380597843,2.63028929443487e-16,1.8326540658975e-13,26.4452150926611
"ENSGACG00000015211",-0.502377503317743,5.42750856485628,-8.75102999740545,3.93106601528465e-16,2.528280227215e-13,26.066202492335
"ENSGACG00000012584",-0.304136901246733,9.12153558052635,-8.42003019034316,3.54372154160939e-15,2.11636112924258e-12,23.6921075833571
"ENSGACG00000000450",-0.723115753016064,3.16216834298463,-8.34578550138444,5.76867165904427e-15,3.21545758275127e-12,22.4983903083906
"ENSGACG00000005902",-0.730048521470826,3.32991005695721,-7.48193295637924,1.40403197120432e-12,7.33694456952456e-10,17.5891835650079
"ENSGACG00000007282",-1.03563247592171,3.17653179997293,-7.13315663259834,1.16898585613274e-11,5.74934749595636e-09,15.5041411478873
"ENSGACG00000003192",-0.581554557476628,3.45762252821854,-6.85632512385005,6.0133791236559e-11,2.79321460293817e-08,14.2335870295356
"ENSGACG00000015342",-0.626997780083879,2.62042154883464,-6.53251178187317,3.87556560928168e-10,1.70545284522127e-07,12.0227117844896
"ENSGACG00000021353",-0.747560248022649,5.16270195786473,-6.37236344929199,9.52974631837082e-10,3.94146399215977e-07,11.8619947871922
"ENSGACG00000005065",-0.276420642215755,6.23138977067328,-6.36552697418614,9.89962251349781e-10,3.94146399215977e-07,11.6955698072909
"ENSGACG00000006701",-0.154381497605508,6.75025862781779,-5.66760775937083,4.16435131933926e-08,1.58264279004525e-05,7.99904718976102
"ENSGACG00000004133",-0.408547985857828,4.59234315678084,-5.16856833648254,4.99029436173583e-07,0.000181408048515101,5.94479058831169
"ENSGACG00000007218",-0.453094442462438,2.88089149592014,-4.89468907409765,1.8151382853435e-06,0.000618001478854105,4.66747011232728
"ENSGACG00000005760",-0.261218050057655,6.01210715345208,-4.89081877925017,1.84786950978981e-06,0.000618001478854105,4.47768638452474
"ENSGACG00000014266",-0.153214279306434,6.61754700163512,-4.80717739362772,2.71195473745329e-06,0.000872102059994114,4.00163016368157
"ENSGACG00000000614",-0.2803140029232,5.42188984943093,-4.77247033494132,3.17529131871094e-06,0.000973670158267263,4.07291796019583
