"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSGACG00000010550",1.04340624737316,8.24578089894677,52.0291311567415,4.05551905371018e-132,3.39081948080708e-128,291.814111847253
"ENSGACG00000009454",0.880052104200504,8.29301670491188,50.8600819365763,5.8437055837979e-130,2.44296111930671e-126,286.84011567514
"ENSGACG00000007744",0.992080801431821,9.06048812622553,49.2668111399919,5.9709713769361e-127,1.66410972275209e-123,279.878323956289
"ENSGACG00000006703",0.843184062432378,10.4435942375444,48.536480986658,1.52180385857555e-125,3.18095051538755e-122,276.565993190782
"ENSGACG00000006058",0.974960472660909,9.11187337825898,48.2456631664067,5.58696448606779e-125,9.34252201360256e-122,275.331987226843
"ENSGACG00000003491",1.05031761918068,7.23148562433002,47.4481627093401,2.04362524994235e-123,2.84779178579467e-120,271.80236916926
"ENSGACG00000006281",-4.47134787756409,4.92727397486467,-46.8622253511041,2.9685698174736e-122,3.54574460627097e-119,267.120309380778
"ENSGACG00000013784",0.910569104733734,8.4702737342449,46.4586753775193,1.90446166745912e-121,1.99040050020321e-118,267.217105571185
"ENSGACG00000013122",0.998096873949318,8.02104692950109,45.3679800881429,3.08979343086518e-119,2.87041809727375e-116,262.144792104988
"ENSGACG00000010067",-1.7890666377413,5.75671144400965,-45.2698453351253,4.90742948686959e-119,4.10310179397166e-116,261.623580905027
"ENSGACG00000006822",1.01657326848795,7.09508077808392,44.5888501466164,1.24371451640514e-117,9.4533609742394e-115,258.489483401374
"ENSGACG00000012099",-1.44125205786696,6.94133729664967,-43.7749439055546,6.23559657317161e-116,4.34465191235732e-113,254.585330462807
"ENSGACG00000009748",1.00875039523231,7.38775422477174,41.2428501054623,1.76040796715223e-110,1.13221315487383e-107,242.00487176104
"ENSGACG00000009626",0.978409075461255,7.21764917894619,41.1861039235194,2.3478056931125e-110,1.40214310000811e-107,241.726844999069
"ENSGACG00000003466",1.01387314191369,6.54020998971354,41.0859916465708,3.90474012858613e-110,2.17650214767391e-107,241.251808007093
"ENSGACG00000005414",1.02615043616446,7.7929641533781,40.9234071080954,8.93826368234053e-110,4.67080141550308e-107,240.352832212751
"ENSGACG00000005181",0.982299348515223,6.32066361080607,38.3825502037425,5.18857777716762e-104,2.55186463499403e-101,227.167348865144
"ENSGACG00000006990",0.943680255905424,8.69118827252161,37.6730547643216,2.36641901202447e-102,1.09920163108536e-99,223.178286328005
"ENSGACG00000004098",0.942544313627993,6.72713659302608,37.5449658054406,4.74228428620618e-102,2.08685467984052e-99,222.628312168981
"ENSGACG00000010346",0.998267119747012,7.14382272910853,37.0491750480329,7.10353260388056e-101,2.96963180505227e-98,219.88823657638
"ENSGACG00000005078",1.02635056033946,6.50401515144762,36.0935097321236,1.40891695731173e-98,5.60950222861115e-96,214.647846340307
"ENSGACG00000011130",0.93565200017214,6.52184724488594,35.4548817093649,5.10225522914283e-97,1.93908890776651e-94,211.055881801237
"ENSGACG00000003597",0.965219396904694,6.61893941183467,35.4376526902925,5.62449656799114e-97,2.0446267741293e-94,210.950413392443
"ENSGACG00000012191",0.997710144846382,7.44790459381026,34.7191926349661,3.36894336943885e-95,1.17365564632826e-92,206.778820692452
"ENSGACG00000004004",0.771155734679867,8.07504850737212,34.4876960275203,1.27489166993391e-94,4.26374770092696e-92,205.389251019389
"ENSGACG00000003757",0.982932364272939,6.33220747217103,33.3637324308524,8.88908330407253e-92,2.85852405789809e-89,199.002476442833
"ENSGACG00000007135",0.942041128672833,10.1872449047446,33.2356853273734,1.89123765274814e-91,5.85653259801008e-89,197.9161744435
"ENSGACG00000014093",1.06409904042438,6.04871703415144,32.7846457905534,2.74316301859777e-90,8.19128071374856e-88,195.598807966564
"ENSGACG00000007560",0.959877059275842,5.95432717780518,32.7534639374588,3.30314850069297e-90,9.52331883251514e-88,195.417998423722
"ENSGACG00000011879",1.02933170502791,6.10558377133236,32.7334067949757,3.72261092654905e-90,1.01750070320596e-87,195.288074045789
"ENSGACG00000010682",0.961184728150617,5.75640419412757,32.7311703257456,3.77257765810128e-90,1.01750070320596e-87,195.297441677493
"ENSGACG00000004827",0.970727302734106,5.93608569270006,32.0936114397942,1.72865458087895e-88,4.51665029710277e-86,191.463514583482
"ENSGACG00000007380",0.935928154159714,6.30820405397243,31.9791262515872,3.45284431284211e-88,8.74825190899179e-86,190.73875011995
"ENSGACG00000013600",-3.63694065850783,1.06010723404119,-31.937817622887,4.43360737640719e-88,1.09027621394531e-85,185.406501408744
"ENSGACG00000012349",1.01947691376488,6.24166172977947,31.796467813,1.04462327468873e-87,2.49545577133499e-85,189.640167460326
"ENSGACG00000007787",1.08286428449972,5.70193953769216,31.47544125235,7.38091555377135e-87,1.7142176373634e-84,187.730071783532
"ENSGACG00000013499",0.810658521101433,6.16388557627531,31.0142412452472,1.25135964606484e-85,2.8277345947968e-83,184.857342970024
"ENSGACG00000006659",0.848039455605209,6.53153399417939,30.7711680007982,5.61988961559329e-85,1.23652360726251e-82,183.313481933533
"ENSGACG00000013939",-3.25735988224773,2.98676321380722,-30.6745901928245,1.02276781478476e-84,2.19265684600395e-82,180.772466654243
"ENSGACG00000013931",1.02883118194288,5.40516037052053,30.4174749168426,5.06391929295618e-84,1.05848573021017e-81,181.221441764305
"ENSGACG00000004613",0.959911849664691,5.60609920897404,30.0330700329629,5.61868991531358e-83,1.14580161907163e-80,178.804547286403
"ENSGACG00000003573",1.0255448978665,5.99957909858119,29.9552504477027,9.16578934312216e-83,1.8246467785201e-80,178.280966036767
"ENSGACG00000003257",0.976912853216006,5.8457213051541,29.9343990790462,1.04513445829118e-82,2.03217888506339e-80,178.16637926398
"ENSGACG00000005119",0.969289372524161,5.77771796096335,29.8356111087208,1.94781377424636e-82,3.70128885601677e-80,177.548847399877
"ENSGACG00000007891",0.987899474177387,8.20684979328745,29.6290358175011,7.18800913917418e-82,1.33553209805856e-79,175.97170940613
"ENSGACG00000005355",0.962360247798623,5.79976805711423,28.7114968725871,2.52889640708225e-79,4.59654409991623e-77,170.380567665761
"ENSGACG00000004145",0.957759169959395,5.75316066571635,28.6139399501979,4.74606294966943e-79,8.44294304727363e-77,169.755523474137
"ENSGACG00000005996",1.12933034387976,7.58252358683437,28.5442461828797,7.44671543623365e-79,1.29712474504895e-76,169.081566107932
"ENSGACG00000013820",0.701247810884805,6.67552015121952,28.3861539770501,2.07350918125759e-78,3.5380837274479e-76,168.160141772356
"ENSGACG00000010239",0.958042140158441,5.61472091800144,28.2019976139337,6.86242998459565e-78,1.14753554202408e-75,167.099663421237
"ENSGACG00000010459",0.977244813505759,7.36531559805055,28.0360372213078,2.02520694155441e-77,3.32014808594832e-75,165.795558804918
