"","sampleID","group","lib.size","norm.factors","lane","ExpCon","Fry.Number","Tank","Fry.ID","Trt","Date.Dissected","SIDE.RNA","Plate","Sex1","Time.In","Time.Attack","Dissection.START","Dissection.END","Pool","Length","Mass","Father","Group"
"35C4","35C4","1",838583.56916133,1.00881748438062,"_","C","4","35-078","35-078-C4","Day10","3/20/18","L","1","F",NA,NA,11:40:00,"11:43",NA,28.8,0.37,"078","Day10_C_F"
"11E8","11E8","1",1081182.5260503,1.00058722615774,"S","E","8","11-082","11-082-E8","Day0","3/30/18","L","1","F","15:57","16:07",17:09:00,"17:12",2,33.49,0.58,"082","Day0_E_F"
"32E4","32E4","1",1141885.61161345,1.06153978812951,"S","E","4","32-077","32-077-E4","Day0","3/22/18","R","1","M","15:21","15:31",16:30:00,"16:33",2,27.12,0.27,"077","Day0_E_M"
"11C4","11C4","1",1091129.18712188,0.982462896042237,"S","C","4","11-082","11-082-C4","Day0","3/30/18","R","1","M",NA,NA,11:35:00,"11:38",NA,30.7,0.37,"082","Day0_C_M"
"40E8","40E8","1",981968.714543474,0.992635576447984,"_","E","8","40-091","40-091-E8","Day0","4/30/18","L","1","M","11:46","11:56",12:58:00,"13:00",2,34.1,0.66,"091","Day0_E_M"
"30C6","30C6","1",948635.950002446,0.993444259901022,"S","C","6","30-002","30-002-C6","Day0","3/15/18","L","1","F",NA,NA,17:26:00,"17:31",NA,27.78,0.33,"002","Day0_C_F"
"30C12","30C12","1",1015641.55299948,1.0136305100675,"S","C","12","30-002","30-002-C12","Day0","3/16/18","L","1","M",NA,NA,16:46:00,"16:50",NA,32.18,0.46,"002","Day0_C_M"
"39C6","39C6","1",908924.730359589,1.01719040869998,"S","C","6","39-093","39-093-C6","Day0","5/7/18","R","1","F",NA,NA,12:15:00,"12:17",NA,26.51,0.29,"093","Day0_C_F"
"19C6","19C6","1",951050.097167411,0.961450102930813,"S","C","6","19-093","19-093-C6","Day10","4/23/18","R","1","M",NA,NA,12:43:00,"12:46",NA,32.85,0.53,"093","Day10_C_M"
"25E4","25E4","1",967772.248644939,1.05517445947192,"S","E","4","25-081","25-081-E4","Day0","4/9/18","L","1","M","15:39","15:49",16:49:00,"16:52",2,33.16,0.45,"081","Day0_E_M"
"35C1","35C1","1",971530.597040548,1.03153279676264,"S","C","1","35-078","35-078-C1","Day10","3/19/18","R","1","M",NA,NA,12:36:00,"12:40",NA,29.65,0.37,"078","Day10_C_M"
"40E3","40E3","1",1052119.99067776,1.00030328044731,"S","E","3","40-091","40-091-E3","Day0","4/27/18","L","1","M","15:23","15:33",16:34:00,"16:37",1,31.31,0.5,"091","Day0_E_M"
"20E2","20E2","1",834763.049830452,1.00641400292781,"_","E","2","20-091","20-091-E2","Day10","5/8/18","L","1","F","10:49","10:59",12:01:00,"12:05",2,35.37,0.61,"091","Day10_E_F"
"22C5","22C5","1",974770.863897131,1.00128180217327,"S","C","5","22-095","22-095-C5","Day0","4/13/18","L","1","M",NA,NA,16:20:00,"16:24",NA,31.78,0.53,"095","Day0_C_M"
