Submitted Sample Name,Tank,Fry Number,Fry ID,Trt,Date Dissected,SIDE RNA
1A1_35C4,35-078,C4,35-078-C4,Day 10,3/20/18,L
1B1_20E2,20-091,E2,20-091-E2,Day 10,5/8/18,L
1C1_22C6,22-095,C6,22-095-C6,Day 0,4/13/18,L
1D1_07E8,07-081,E8,07-081-E8,Day 10,4/4/18,L
1E1_19E7,19-093,E7,19-093-E7,Day 10,4/23/18,L
1F1_11E9,11-082,E9,11-082-E9,Day 0,4/2/18,L
,31-082,C7,31-082-C7,Day 10,5/3/18,L
1G1_32C2,32-077,C2,32-077-C2,Day 0,3/22/18,R
1H1_30E5,30-002,E5,30-002-E5,Day 0,3/15/18,R
1A2_40E8,40-091,E8,40-091-E8,Day 0,4/30/18,L
1B2_25C5,25-081,C5,25-081-C5,Day 0,4/10/18,L
1C2_26C4,26-077,C4,26-077-C4,Day 10,3/26/18,L
1D2_20C8,20-091,C8,20-091-C8,Day 10,5/9/18,R
1E2_04E5,04-078,E5,04-078-E5,Day 0,4/6/18,L
1F2_35E1,35-078,E1,35-078-E1,Day 10,3/19/18,R
1G2_39C5,39-093,C5,39-093-C5,Day 0,5/7/18,L
1H2_22E5,22-095,E5,22-095-E5,Day 0,4/13/18,L
1A3_30C6,30-002,C6,30-002-C6,Day 0,3/15/18,L
1B3_39E3,39-093,E3,39-093-E3,Day 0,5/4/18,L
1C3_04C5,04-078,C5,04-078-C5,Day 0,4/6/18,L
1D3_25E6,25-081,E6,25-081-E6,Day 0,4/10/18,R
1E3_17E5,17-095,E5,17-095-E5,Day 10,4/26/18,R
1F3_19C7,19-093,C7,19-093-C7,Day 10,4/23/18,L
1G3_07C3,07-081,C3,07-081-C3,Day 10,4/2/18,R
1H3_07E6,07-081,E6,07-081-E6,Day 10,4/3/18,L
1A4_30C12,30-002,C12,30-002-C12,Day 0,3/16/18,L
1B4_17C1,17-095,C1,17-095-C1,Day 10,4/24/18,R
1C4_26C2,26-077,C2,26-077-C2,Day 10,3/26/18,L
1D4_39E2,39-093,E2,39-093-E2,Day 0,5/4/18,L
1E4_40E7,40-091,E7,40-091-E7,Day 0,4/30/18,R
1F4_35C7,35-078,C7,35-078-C7,Day 10,3/21/18,R
1G4_25C8,25-081,C8,25-081-C8,Day 0,4/10/18,R
1H4_40C6,40-091,C6,40-091-C6,Day 0,4/30/18,L
1A5_39C6,39-093,C6,39-093-C6,Day 0,5/7/18,R
1B5_07E4,07-081,E4,07-081-E4,Day 10,4/3/18,L
1C5_22E1,22-095,E1,22-095-E1,Day 0,4/12/18,R
1D5_04C3,04-078,C3,04-078-C3,Day 0,4/6/18,L
1E5_11C9,11-082,C9,11-082-C9,Day 0,4/2/18,L
1F5_20C6,20-091,C6,20-091-C6,Day 10,5/9/18,R
1G5_19E2,19-093,E2,19-093-E2,Day 10,4/16/18,L
1H5_35E4,35-078,E4,35-078-E4,Day 10,3/20/18,L
1A6_19C6,19-093,C6,19-093-C6,Day 10,4/23/18,R
1B6_20E5,20-091,E5,20-091-E5,Day 10,5/9/18,L
,07-081,C2,07-081-C2,Day 10,4/2/18,L
1C6_11E3,11-082,E3,11-082-E3,Day 0,3/30/18,L
1D6_30E6,30-002,E6,30-002-E6,Day 0,3/15/18,L
1E6_22C2,22-095,C2,22-095-C2,Day 0,4/12/18,R
1F6_32E2,32-077,E2,32-077-E2,Day 0,3/22/18,R
1G6_07C7,07-081,C7,07-081-C7,Day 10,4/3/18,R
1H6_11C1,11-082,C1,11-082-C1,Day 0,3/29/18,R
1A7_25E4,25-081,E4,25-081-E4,Day 0,4/9/18,L
1B7_31C3,31-082,C3,31-082-C3,Day 10,5/1/18,R
1C7_17E4,17-095,E4,17-095-E4,Day 10,4/24/18,L
1D7_26E1,26-077,E1,26-077-E1,Day 10,3/26/18,R
1E7_22C7,22-095,C7,22-095-C7,Day 0,4/16/18,R
1F7_40C1,40-091,C1,40-091-C1,Day 0,4/27/18,L
1G7_04C8,04-078,C8,04-078-C8,Day 0,4/6/18,R
1H7_39C3,39-093,C3,39-093-C3,Day 0,5/4/18,L
1A8_35C1,35-078,C1,35-078-C1,Day 10,3/19/18,R
1B8_19E6,19-093,E6,19-093-E6,Day 10,4/23/18,R
1C8_17C6,17-095,C6,17-095-C6,Day 10,4/26/18,L
1D8_31E4,31-082,E4,31-082-E4,Day 10,5/1/18,L
1E8_11E1,11-082,E1,11-082-E1,Day 0,3/29/18,R
1F8_20E1,20-091,E1,20-091-E1,Day 10,5/8/18,R
1G8_30E11,30-002,E11,30-002-E11,Day 0,3/16/18,R
1H8_27C13,27-002,C13,27-002-C13,Day 10,3/13/18,R
1A9_40E3,40-091,E3,40-091-E3,Day 0,4/27/18,L
1B9_26C5,26-077,C5,26-077-C5,Day 10,3/27/18,L
1C9_07E7,07-081,E7,07-081-E7,Day 10,4/3/18,R
1D9_04E4,04-078,E4,04-078-E4,Day 0,4/6/18,R
1E9_17C2,17-095,C2,17-095-C2,Day 10,4/24/18,R
1F9_31C2,31-082,C2,31-082-C2,Day 10,4/30/18,L
1G9_32C8,32-077,C8,32-077-C8,Day 0,3/23/18,L
1H9_07C6,07-081,C6,07-081-C6,Day 10,4/3/18,L
1A10_11E8,11-082,E8,11-082-E8,Day 0,3/30/18,L
1B10_22C5,22-095,C5,22-095-C5,Day 0,4/13/18,L
1C10_25C4,25-081,C4,25-081-C4,Day 0,4/9/18,L
,39-093,E4,39-093-E4,Day 0,5/4/18,R
1D10_25C2,25-081,C2,25-081-C2,Day 0,4/9/18,L
1E10_39E5,39-093,E5,39-093-E5,Day 0,5/7/18,L
1F10_26E8,26-077,E8,26-077-E8,Day 10,3/27/18,R
1G10_25E3,25-081,E3,25-081-E3,Day 0,4/9/18,R
1H10_40C5,40-091,C5,40-091-C5,Day 0,4/30/18,R
1A11_32E4,32-077,E4,32-077-E4,Day 0,3/22/18,R
1B11_31E1,31-082,E1,31-082-E1,Day 10,4/30/18,R
1C11_04C1,04-078,C1,04-078-C1,Day 0,4/4/18,R
1D11_07E5,07-081,E5,07-081-E5,Day 10,4/3/18,R
1E11_19E8,19-093,E8,19-093-E8,Day 10,4/23/18,R
,20-091,C4,20-091-C4,Day 10,5/8/18,L
1F11_27C12,27-002,C12,27-002-C12,Day 10,3/12/18,L
1G11_39C7,39-093,C7,39-093-C7,Day 0,5/7/18,R
1H11_22E3,22-095,E3,22-095-E3,Day 0,4/13/18,L
1A12_11C4,11-082,C4,11-082-C4,Day 0,3/30/18,R
,40-091,E2,40-091-E2,Day 0,4/27/18,R
1B12_04E3,04-078,E3,04-078-E3,Day 0,4/6/18,L
1C12_35C8,35-078,C8,35-078-C8,Day 10,3/21/18,L
2A1_40C4,40-091,C4,40-091-C4,Day 0,4/27/18,R
2B1_26E3,26-077,E3,26-077-E3,Day 10,3/26/18,R
2C1_39C4,39-093,C4,39-093-C4,Day 0,5/4/18,R
2D1_27E13,27-002,E13,27-002-E13,Day 10,3/13/18,R
2E1_04E1,04-078,E1,04-078-E1,Day 0,4/4/18,R
2F1_17E3,17-095,E3,17-095-E3,Day 10,4/24/18,L
2G1_31E8,31-082,E8,31-082-E8,Day 10,5/3/18,R
2H1_32E8,32-077,E8,32-077-E8,Day 0,3/23/18,L
2A2_17C3,17-095,C3,17-095-C3,Day 10,4/24/18,L
2B2_35E8,35-078,E8,35-078-E8,Day 10,3/21/18,L
2C2_26C8,26-077,C8,26-077-C8,Day 10,3/27/18,R
2D2_20C7,20-091,C7,20-091-C7,Day 10,5/9/18,L
2E2_25E8,25-081,E8,25-081-E8,Day 0,4/10/18,R
2F2_11C5,11-082,C5,11-082-C5,Day 0,3/30/18,L
2G2_40E5,40-091,E5,40-091-E5,Day 0,4/30/18,R
2H2_19C1,19-093,C1,19-093-C1,Day 10,4/16/18,R
2A3_39E6,39-093,E6,39-093-E6,Day 0,5/7/18,R
2B3_11E4,11-082,E4,11-082-E4,Day 0,3/30/18,R
2C3_32C1,32-077,C1,32-077-C1,Day 0,3/22/18,L
2D3_25C6,25-081,C6,25-081-C6,Day 0,4/10/18,R
2E3_22C4,22-095,C4,22-095-C4,Day 0,4/13/18,R
2F3_27C9,27-002,C9,27-002-C9,Day 10,3/12/18,R
2G3_20E3,20-091,E3,20-091-E3,Day 10,5/8/18,R
2H3_04C4,04-078,C4,04-078-C4,Day 0,4/6/18,R
2A4_17C7,17-095,C7,17-095-C7,Day 10,4/27/18,L
2B4_19E5,19-093,E5,19-093-E5,Day 10,4/19/18,L
2C4_22E8,22-095,E8,22-095-E8,Day 0,4/16/18,L
2D4_27E11,27-002,E11,27-002-E11,Day 10,3/12/18,L
2E4_26C3,26-077,C3,26-077-C3,Day 10,3/26/18,R
2F4_11E7,11-082,E7,11-082-E7,Day 0,3/30/18,R
2G4_40E1,40-091,E1,40-091-E1,Day 0,4/27/18,L
2H4_25E2,25-081,E2,25-081-E2,Day 0,4/9/18,L
2A5_26E6,26-077,E6,26-077-E6,Day 10,3/27/18,R
2B5_35C5,35-078,C5,35-078-C5,Day 10,3/21/18,R
2C5_32E7,32-077,E7,32-077-E7,Day 0,3/23/18,R
2D5_40C3,40-091,C3,40-091-C3,Day 0,4/27/18,L
2E5_27C10,27-002,C10,27-002-C10,Day 10,3/12/18,R
2F5_30E8,30-002,E8,30-002-E8,Day 0,3/16/18,L
2G5_11C3,11-082,C3,11-082-C3,Day 0,3/30/18,L
2H5_22C3,22-095,C3,22-095-C3,Day 0,4/13/18,L
,19-093,C2,19-093-C2,Day 10,4/16/18,L
2A6_30C7,30-002,C7,30-002-C7,Day 0,3/16/18,R
2B6_31E7,31-082,E7,31-082-E7,Day 10,5/3/18,L
2C6_17E2,17-095,E2,17-095-E2,Day 10,4/24/18,R
2D6_39E8,39-093,E8,39-093-E8,Day 0,5/7/18,L
2E6_32C4,32-077,C4,32-077-C4,Day 0,3/22/18,R
2F6_35E5,35-078,E5,35-078-E5,Day 10,3/21/18,R
2G6_07C8,07-081,C8,07-081-C8,Day 10,4/4/18,L
2H6_04C7,04-078,C7,04-078-C7,Day 0,4/6/18,L
2A7_31E2,31-082,E2,31-082-E2,Day 10,4/30/18,L
2B7_17E7,17-095,E7,17-095-E7,Day 10,4/27/18,L
,39-093,E1,39-093-E1,Day 0,5/4/18,R
2C7_40C7,40-091,C7,40-091-C7,Day 0,4/30/18,R
2D7_22E7,22-095,E7,22-095-E7,Day 0,4/16/18,R
2E7_19C5,19-093,C5,19-093-C5,Day 10,4/19/18,L
2F7_07C4,07-081,C4,07-081-C4,Day 10,4/3/18,L
2G7_31C5,31-082,C5,31-082-C5,Day 10,5/3/18,L
