"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSGACG00000020876",-1.097193269425,5.20266844519366,-9.3918905154887,4.96611282167334e-18,4.15216693020108e-14,30.3450637151951
"ENSGACG00000010801",-0.890995191074602,8.56456871746953,-8.39030996431024,4.3081050874978e-15,1.80100333182846e-11,23.3572931011243
"ENSGACG00000019282",-0.740615165978033,10.0907789178606,-8.19499225214248,1.54115638570656e-14,4.29520284696419e-11,21.9712059260427
"ENSGACG00000005108",-0.317530350983784,9.85893552610894,-7.94674051570933,7.6087410443178e-14,1.59041709678853e-10,20.4144674340707
"ENSGACG00000005807",-0.892998816018987,3.74835569820763,-7.66036834889042,4.63983375704761e-13,7.75873000853501e-10,19.1416312742826
"ENSGACG00000017305",-0.836909245289998,5.22133616065624,-7.49915220889081,1.26258296845658e-12,1.69895523373357e-09,18.1931298525108
"ENSGACG00000018551",-1.04237188484215,2.64852360264396,-7.47887168472279,1.4307681587739e-12,1.69895523373357e-09,17.6068142380226
"ENSGACG00000003954",-0.536811303125278,5.08921304922152,-7.45813392260806,1.62560003227706e-12,1.69895523373357e-09,17.9569831687315
"ENSGACG00000005293",0.374294390313661,5.73595965051313,7.39076307121014,2.45758564247827e-12,2.28309706186231e-09,17.4802373094794
"ENSGACG00000016451",-0.373230065535065,6.97869532786833,-7.3718546895176,2.75874990586181e-12,2.30659079629106e-09,17.1629080473565
"ENSGACG00000000138",-1.1911916155723,3.15394057257925,-7.3056764319296,4.12874124196184e-12,3.13821868400391e-09,16.8745796242101
"ENSGACG00000007449",-1.02695580644519,4.22267112335931,-7.22865223209368,6.58301961696798e-12,4.58671891812244e-09,16.6460599795699
"ENSGACG00000019933",-1.10548141726397,2.90443902255452,-7.15826094248624,1.0056480019529e-11,6.03612371407664e-09,15.9420243732642
"ENSGACG00000000129",-1.24476199309915,2.37736343427925,-7.15742378181335,1.01071321608746e-11,6.03612371407664e-09,15.556358062296
"ENSGACG00000001966",-0.879232499902585,5.1751011054764,-7.09355202214687,1.48128997034326e-11,8.25671029469333e-09,15.8048956760577
"ENSGACG00000004470",-0.312939934321059,6.73362336430823,-7.07361974538079,1.66824449544376e-11,8.34781984054593e-09,15.433273191034
"ENSGACG00000019529",-0.840213753734033,3.61321611081652,-7.07071926169405,1.69732014459133e-11,8.34781984054593e-09,15.6870482846021
"ENSGACG00000007959",-0.810810107343856,5.49055014760893,-7.0484427988137,1.93790978593061e-11,9.00159095564768e-09,15.4989212064842
"ENSGACG00000000350",-0.772487962614912,7.94106861625327,-7.03227078761814,2.13332487341424e-11,9.38775224558762e-09,15.0400380540446
"ENSGACG00000020913",-0.615155818554918,6.00941652244437,-6.99520170166281,2.65747987421002e-11,1.1109594614135e-08,15.1037097429635
"ENSGACG00000003555",-1.19706128116566,5.0680382574612,-6.95780518637454,3.31441908019824e-11,1.31961228235893e-08,15.0438205156756
"ENSGACG00000014009",-0.732702350263886,5.43629840429587,-6.91281496773058,4.31915989657572e-11,1.64147708614862e-08,14.7216762438845
"ENSGACG00000013667",-0.827349566338165,5.82970410858177,-6.88132935115172,5.19511864359608e-11,1.88853856430899e-08,14.4819744993102
"ENSGACG00000001423",-0.404278014312124,6.41323637687267,-6.87097523902481,5.51972888581371e-11,1.92293555059535e-08,14.3156176155914
"ENSGACG00000013555",-0.72625400249078,5.43551440837813,-6.84881456139657,6.28305110488098e-11,2.0966225228449e-08,14.359982722936
"ENSGACG00000000344",-0.89650368046266,6.62800633485181,-6.84247755348991,6.51981648056063e-11,2.0966225228449e-08,14.1292800641803
"ENSGACG00000007933",-0.908618181130145,4.93822040064727,-6.80670025353474,8.03075730076356e-11,2.48685784413645e-08,14.1931747013908
"ENSGACG00000014576",-0.251052139878858,11.2607577239888,-6.78419264863693,9.15269535562313e-11,2.70693639489751e-08,13.3057291579707
"ENSGACG00000016657",-0.432883047098533,7.15532935011001,-6.77980039550434,9.38896728286422e-11,2.70693639489751e-08,13.6801874078001
"ENSGACG00000000151",-0.998021467278965,2.44654134730109,-6.77149000111347,9.85253886728398e-11,2.74590258231205e-08,13.6477174825293
"ENSGACG00000001123",-0.799792347799275,7.31212127523516,-6.73763128358687,1.19854460990995e-10,3.12088784050217e-08,13.4271943898175
"ENSGACG00000017972",-0.560672457142424,5.80703884005213,-6.7341993306249,1.22254652988222e-10,3.12088784050217e-08,13.6457135117624
"ENSGACG00000019819",-0.392055754594412,6.56478456349733,-6.73289639903158,1.23178206837186e-10,3.12088784050217e-08,13.5036729944375
